# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: C:\Users\fla13\Downloads\DE10_Lite_Telemetre.csv
# Generated on: Wed Nov 26 09:27:41 2025

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
clk,Input,PIN_P11,3,B3_N0,PIN_P11,3.3-V LVTTL,,,,,
dist_cm[9],Output,PIN_B11,7,B7_N0,PIN_B11,3.3-V LVTTL,,,,,
dist_cm[8],Output,PIN_A11,7,B7_N0,PIN_A11,3.3-V LVTTL,,,,,
dist_cm[7],Output,PIN_D14,7,B7_N0,PIN_D14,3.3-V LVTTL,,,,,
dist_cm[6],Output,PIN_E14,7,B7_N0,PIN_E14,3.3-V LVTTL,,,,,
dist_cm[5],Output,PIN_C13,7,B7_N0,PIN_C13,3.3-V LVTTL,,,,,
dist_cm[4],Output,PIN_D13,7,B7_N0,PIN_D13,3.3-V LVTTL,,,,,
dist_cm[3],Output,PIN_B10,7,B7_N0,PIN_B10,3.3-V LVTTL,,,,,
dist_cm[2],Output,PIN_A10,7,B7_N0,PIN_A10,3.3-V LVTTL,,,,,
dist_cm[1],Output,PIN_A9,7,B7_N0,PIN_A9,3.3-V LVTTL,,,,,
dist_cm[0],Output,PIN_A8,7,B7_N0,PIN_A8,3.3-V LVTTL,,,,,
echo,Input,PIN_W9,3,B3_N0,PIN_W9,3.3-V LVTTL,,,,,
rst_n,Input,PIN_B8,7,B7_N0,PIN_B8,3.3 V Schmitt Trigger,,,,,
trig,Output,PIN_W10,3,B3_N0,PIN_W10,3.3-V LVTTL,,,,,
